Method,n_valid,Mean_beta,Bias,RelBias,EmpSE,RMSE,Coverage,Power,Scenario,trunc_rate,meff_mean,lam_mean
Oracle,500,-0.996256321796871,0.0037436782031290416,0.37436782031290416,1.3804114557384115,1.3790354348913814,93.60000000000001,12.0,S1,0.0,19.886444245439534,0.7176940138530229
Naive,500,-0.7322429270302343,0.2677570729697657,26.77570729697657,1.1528330120032984,1.1823957695216962,93.8,10.4,S1,0.0,19.886444245439534,0.7176940138530229
StdRC,500,-1.0653140037076523,-0.06531400370765228,-6.531400370765228,1.6955576844071778,1.6951200395577446,93.60000000000001,10.4,S1,0.0,19.886444245439534,0.7176940138530229
GRC,500,-0.9804806419779604,0.019519358022039635,1.9519358022039635,1.541713051768842,1.5402942514545717,93.60000000000001,11.0,S1,0.0,19.886444245439534,0.7176940138530229
SIMEX,500,-0.9149499783458915,0.08505002165410847,8.505002165410847,1.5257951378439683,1.5266395145044298,85.8,22.6,S1,0.0,19.886444245439534,0.7176940138530229
Oracle,500,-1.104999712482557,-0.10499971248255702,-10.4999712482557,1.4155522223697432,1.4180287224484651,93.0,12.4,S2,0.0,19.069165814585087,0.682239170993909
Naive,500,-0.6284345139446269,0.3715654860553731,37.15654860553731,1.0728052471440004,1.1343148533501028,90.8,8.799999999999999,S2,0.0,19.069165814585087,0.682239170993909
StdRC,500,-0.9732070123853105,0.026792987614689512,2.679298761468951,1.7244639967778408,1.7229470067927104,93.8,8.799999999999999,S2,0.0,19.069165814585087,0.682239170993909
GRC,500,-0.8974373105050762,0.10256268949492375,10.256268949492375,1.5427728886009249,1.5446381436138594,93.0,10.2,S2,0.0,19.069165814585087,0.682239170993909
SIMEX,500,-0.8230540889958277,0.17694591100417234,17.694591100417234,1.4810257886790208,1.4900873690424825,84.39999999999999,20.0,S2,0.0,19.069165814585087,0.682239170993909
Oracle,500,-1.2057008557032738,-0.2057008557032738,-20.57008557032738,2.059046670216112,2.067246159939561,94.39999999999999,9.4,S3,0.0,19.835301232353512,0.703984892333093
Naive,500,-0.8759808104263245,0.12401918957367553,12.401918957367553,1.6760759497537538,1.6789856722279595,93.2,8.4,S3,0.0,19.835301232353512,0.703984892333093
StdRC,500,-1.2886861043169138,-0.28868610431691377,-28.868610431691376,2.5813715293478836,2.5948972390845175,93.60000000000001,8.4,S3,0.0,19.835301232353512,0.703984892333093
GRC,500,-1.1871018781069034,-0.18710187810690337,-18.710187810690336,2.414610213838211,2.419439793132575,93.60000000000001,9.4,S3,0.0,19.835301232353512,0.703984892333093
SIMEX,500,-1.1414072090632947,-0.14140720906329474,-14.140720906329474,2.3187111438789514,2.3207034547278997,84.2,21.8,S3,0.0,19.835301232353512,0.703984892333093
Oracle,500,-1.129827683468737,-0.12982768346873708,-12.982768346873709,1.3893274081691374,1.3939962027174433,94.0,15.0,S5,0.0,130.81986422110555,0.9382285148039907
Naive,500,-1.0458516582801087,-0.04585165828010873,-4.585165828010873,1.3087929318120788,1.3082872142811648,94.39999999999999,12.8,S5,0.0,130.81986422110555,0.9382285148039907
StdRC,500,-1.1153292093517362,-0.11532920935173618,-11.532920935173617,1.3961846528232196,1.3995476941280824,94.19999999999999,12.8,S5,0.0,130.81986422110555,0.9382285148039907
GRC,500,-1.1062171530404026,-0.10621715304040258,-10.621715304040258,1.3842114027357921,1.3868998553063845,94.19999999999999,13.0,S5,0.0,130.81986422110555,0.9382285148039907
SIMEX,500,-1.1166166072213566,-0.11661660722135658,-11.661660722135657,1.3963087045637264,1.3997778664928842,92.80000000000001,13.8,S5,0.0,130.81986422110555,0.9382285148039907
Oracle,500,-1.0874897193092414,-0.08748971930924143,-8.748971930924142,1.3053415261098655,1.3069671448709292,95.19999999999999,12.4,S6,0.0,27.78966471047228,0.8004808605317663
Naive,500,-0.7411480336878383,0.2588519663121617,25.885196631216168,1.06003533583624,1.0901522388449605,94.39999999999999,10.4,S6,0.0,27.78966471047228,0.8004808605317663
StdRC,500,-0.9350645732298364,0.06493542677016362,6.493542677016362,1.3569152940384854,1.3571121127655523,95.39999999999999,10.4,S6,0.0,27.78966471047228,0.8004808605317663
GRC,500,-0.8772067448598595,0.1227932551401405,12.279325514014051,1.273271649154266,1.2779109650765406,95.0,9.0,S6,0.0,27.78966471047228,0.8004808605317663
SIMEX,500,-0.864787461967163,0.13521253803283695,13.521253803283695,1.2966799691305648,1.302420291189075,89.60000000000001,16.0,S6,0.0,27.78966471047228,0.8004808605317663
Oracle,500,-0.9683665443502896,0.03163345564971043,3.163345564971043,1.3316057933940717,1.3306495844282205,94.39999999999999,11.799999999999999,S8,0.0,19.883274827715343,0.7783542952004812
Naive,500,-0.5959932541115621,0.4040067458884379,40.400674588843785,0.9812739658483433,1.0602802693547573,90.8,9.4,S8,0.0,19.883274827715343,0.7783542952004812
StdRC,500,-0.7744441856074363,0.22555581439256367,22.55558143925637,1.3064601377483323,1.324499845507214,93.60000000000001,9.4,S8,0.0,19.883274827715343,0.7783542952004812
GRC,500,-0.7247142151678065,0.27528578483219346,27.528578483219345,1.2255002748193184,1.2548424144352697,93.0,10.0,S8,0.0,19.883274827715343,0.7783542952004812
SIMEX,500,-0.6942859077168947,0.3057140922831053,30.571409228310532,1.2289105778218328,1.2651726649300912,85.8,16.6,S8,0.0,19.883274827715343,0.7783542952004812
